carrier,flight_number,departure_airport,arrival_airport,scheduled_departure,actual_departure
VAV,NE716,JVL,CHS,2016-09-15 05:39:00,2016-09-15 07:23:00
WUT,BM014,JVL,CHS,2016-05-30 20:13:00,2016-05-30 20:38:00
WUT,AO118,WYS,CHS,2016-09-23 14:51:00,2016-09-23 14:51:00
ABC,AW688,JVL,AVL,2016-07-30 06:33:00,2016-07-30 08:20:00
WUT,EJ570,AVL,FYV,2016-07-05 18:40:00,2016-07-05 18:40:00
VAV,OM835,CHS,AVL,2016-06-07 12:16:00,2016-06-07 12:16:00
VAV,YT718,JVL,JVL,2016-08-06 11:59:00,2016-08-06 11:59:00
WUT,DL387,JVL,GCC,2016-05-20 21:15:00,2016-05-20 21:15:00
GHU,LW034,CHS,JVL,2016-09-11 10:28:00,2016-09-11 10:28:00
WUT,AS389,JVL,CHS,2016-05-28 22:36:00,2016-05-28 22:36:00
WUT,YF934,CHS,CHS,2016-09-11 11:16:00,2016-09-11 12:08:00
WUT,DF411,JVL,JVL,2016-07-15 21:07:00,2016-07-15 21:07:00
WUT,EO310,JVL,AVL,2016-08-19 06:09:00,2016-08-19 06:22:00
WUT,TJ567,CHS,WYS,2016-05-22 02:53:00,2016-05-22 02:59:00
WUT,AK867,JVL,WRE,2016-08-16 17:07:00,2016-08-16 17:07:00
POP,FW456,AVL,JVL,2016-09-27 11:09:00,2016-09-27 11:09:00
GHU,SZ084,JVL,WYS,2016-06-28 21:12:00,2016-06-28 21:12:00
WUT,QJ948,GCC,JVL,2016-08-06 00:42:00,2016-08-06 00:42:00
WUT,AO727,JVL,AVL,2016-06-15 19:37:00,2016-06-15 21:04:00
WUT,TS378,WRE,JVL,2016-07-30 23:36:00,2016-07-30 23:36:00
WUT,XI932,JVL,JVL,2016-09-08 14:13:00,2016-09-08 14:13:00
WUT,AN427,WYS,CHS,2016-09-24 10:04:00,2016-09-24 10:04:00
WUT,WQ442,JVL,AVL,2016-06-05 03:24:00,2016-06-05 03:24:00
WUT,YX292,JVL,JVL,2016-07-05 05:50:00,2016-07-05 05:50:00
VAV,BG405,JVL,JVL,2016-06-06 16:22:00,2016-06-06 17:31:00
WUT,CL414,AVL,AVL,2016-06-10 11:08:00,2016-06-10 11:08:00
WUT,YW142,CHS,AVL,2016-09-07 08:33:00,2016-09-07 08:33:00
WUT,ZE814,JVL,JVL,2016-05-09 22:22:00,2016-05-09 22:22:00
POP,GB719,JVL,JVL,2016-06-03 06:02:00,2016-06-03 06:02:00
POP,JL426,AVL,JVL,2016-08-21 03:39:00,2016-08-21 04:07:00
VAV,QF406,FYV,CHS,2016-07-24 20:37:00,2016-07-24 20:37:00
ABC,NL764,JVL,GCC,2016-06-05 21:44:00,2016-06-05 21:44:00
DEF,WF460,JVL,CHS,2016-09-28 02:29:00,2016-09-28 02:29:00
POP,TQ558,JVL,CHS,2016-05-25 14:08:00,2016-05-25 15:35:00
WUT,JG997,JVL,JVL,2016-05-08 05:21:00,2016-05-08 05:56:00
POP,ZS576,GCC,WYS,2016-05-01 22:34:00,2016-05-01 22:34:00
VAV,CS633,AVL,CHS,2016-09-25 21:16:00,2016-09-25 21:16:00
WUT,AP563,WRE,JVL,2016-09-25 05:54:00,2016-09-25 07:39:00
VAV,SM751,JVL,JVL,2016-07-22 17:43:00,2016-07-22 17:43:00
WUT,QO728,JVL,CHS,2016-07-04 00:20:00,2016-07-04 00:20:00
POP,DW212,CHS,JVL,2016-09-25 18:34:00,2016-09-25 18:34:00
WUT,HN527,JVL,CHS,2016-08-22 09:33:00,2016-08-22 11:14:00
POP,XW453,JVL,JVL,2016-07-03 23:57:00,2016-07-03 23:57:00
WUT,SE972,CHS,AVL,2016-07-05 01:25:00,2016-07-05 01:25:00
POP,HP171,JVL,CHS,2016-06-25 08:59:00,2016-06-25 08:59:00
WUT,HY052,AVL,CHS,2016-07-13 13:32:00,2016-07-13 13:32:00
WUT,EC235,CHS,JVL,2016-09-22 07:33:00,2016-09-22 07:33:00
WUT,IH601,JVL,CHS,2016-09-19 23:33:00,2016-09-19 23:33:00
WUT,CY664,CHS,WYS,2016-05-15 12:31:00,2016-05-15 14:07:00
POP,RZ413,SBP,JVL,2016-05-15 15:39:00,2016-05-15 15:39:00
VAV,QG010,AVL,WRE,2016-07-29 10:08:00,2016-07-29 10:08:00
POP,OD277,JVL,JVL,2016-06-03 16:55:00,2016-06-03 18:49:00
GHU,EO737,CHS,JVL,2016-06-24 05:35:00,2016-06-24 05:35:00
POP,NJ393,JVL,FYV,2016-05-26 10:16:00,2016-05-26 10:16:00
WUT,XN037,AVL,JVL,2016-08-04 01:20:00,2016-08-04 01:23:00
VAV,PD866,JVL,JVL,2016-08-11 01:25:00,2016-08-11 01:25:00
ABC,MI468,JVL,JVL,2016-08-19 21:41:00,2016-08-19 21:41:00
POP,VQ531,GCC,WRE,2016-09-06 04:24:00,2016-09-06 04:24:00
WUT,NC544,JVL,CHS,2016-05-17 07:19:00,2016-05-17 07:19:00
VAV,IH396,CHS,CHS,2016-08-18 07:25:00,2016-08-18 07:25:00
POP,BI678,WYS,JVL,2016-09-23 20:51:00,2016-09-23 22:32:00
ABC,JO246,WRE,CHS,2016-08-24 11:07:00,2016-08-24 11:43:00
POP,XZ605,CHS,AVL,2016-08-04 08:55:00,2016-08-04 08:55:00
WUT,CD098,CHS,JVL,2016-07-17 03:49:00,2016-07-17 03:49:00
GHU,WK277,JVL,CHS,2016-06-16 01:09:00,2016-06-16 03:00:00
WUT,XB257,CHS,JVL,2016-08-18 19:52:00,2016-08-18 19:52:00
POP,LD734,AVL,JVL,2016-09-07 11:30:00,2016-09-07 11:30:00
WUT,WH566,CHS,JVL,2016-07-03 16:23:00,2016-07-03 16:23:00
WUT,FV089,JVL,CHS,2016-07-18 04:21:00,2016-07-18 04:21:00
WUT,KI606,AVL,JVL,2016-06-24 22:49:00,2016-06-24 23:42:00
VAV,DN904,JVL,CHS,2016-09-17 03:48:00,2016-09-17 03:48:00
POP,CF870,JVL,JVL,2016-09-19 12:47:00,2016-09-19 12:47:00
POP,FN514,CHS,JVL,2016-08-14 18:18:00,2016-08-14 18:18:00
WUT,GU791,JVL,CHS,2016-08-24 21:10:00,2016-08-24 21:10:00
WUT,WT004,FYV,JVL,2016-06-28 11:15:00,2016-06-28 12:57:00
GHU,YM352,JVL,JVL,2016-09-17 01:03:00,2016-09-17 02:03:00
VAV,NQ677,JVL,JVL,2016-08-27 15:35:00,2016-08-27 16:19:00
WUT,KZ140,JVL,JVL,2016-08-26 10:49:00,2016-08-26 11:36:00
GHU,JA169,JVL,JVL,2016-09-02 06:22:00,2016-09-02 07:00:00
WUT,FY676,AVL,WRE,2016-05-08 20:10:00,2016-05-08 20:10:00
WUT,MI442,AVL,CHS,2016-08-25 17:13:00,2016-08-25 17:32:00
POP,ZJ889,CHS,CHS,2016-06-25 07:40:00,2016-06-25 07:40:00
WUT,CP706,JVL,JVL,2016-06-03 01:07:00,2016-06-03 01:07:00
WUT,CY094,AVL,JVL,2016-09-13 02:34:00,2016-09-13 02:34:00
POP,BP505,JVL,AVL,2016-05-17 02:49:00,2016-05-17 02:49:00
POP,WY813,JVL,CHS,2016-07-08 22:14:00,2016-07-08 22:14:00
WUT,MD068,JVL,AVL,2016-06-08 01:25:00,2016-06-08 01:25:00
POP,DN883,CHS,CHS,2016-06-23 15:10:00,2016-06-23 15:10:00
POP,QA066,JVL,CHS,2016-08-14 19:09:00,2016-08-14 19:09:00
POP,HJ357,WYS,JVL,2016-07-15 04:41:00,2016-07-15 05:40:00
POP,XM219,CHS,JVL,2016-08-23 17:12:00,2016-08-23 17:12:00
WUT,GK846,JVL,JVL,2016-06-19 20:31:00,2016-06-19 20:31:00
WUT,NE244,JVL,JVL,2016-09-05 07:56:00,2016-09-05 07:56:00
WUT,IT369,JVL,JVL,2016-08-22 02:06:00,2016-08-22 02:06:00
WUT,FN303,CHS,CHS,2016-09-17 21:31:00,2016-09-17 21:31:00
WUT,PH025,JVL,JVL,2016-06-27 13:40:00,2016-06-27 13:40:00
WUT,DA783,JVL,AVL,2016-07-23 01:22:00,2016-07-23 01:22:00
POP,RZ632,JVL,JVL,2016-08-03 05:32:00,2016-08-03 05:45:00
WUT,UZ384,WRE,JVL,2016-05-07 07:22:00,2016-05-07 07:22:00
POP,YF385,WRE,JVL,2016-05-07 05:14:00,2016-05-07 05:14:00
DEF,YL666,JVL,AVL,2016-08-13 19:04:00,2016-08-13 19:04:00
POP,VK192,JVL,JVL,2016-06-05 05:22:00,2016-06-05 05:22:00
WUT,FQ455,GNV,WRE,2016-06-03 07:56:00,2016-06-03 07:56:00
WUT,SP663,CHS,JVL,2016-08-05 10:41:00,2016-08-05 10:43:00
WUT,YE048,AVL,JVL,2016-05-25 15:35:00,2016-05-25 15:35:00
WUT,AL645,JVL,WYS,2016-08-10 17:04:00,2016-08-10 19:00:00
POP,HA102,AVL,JVL,2016-06-19 19:42:00,2016-06-19 20:46:00
POP,YA699,JVL,JVL,2016-09-21 20:51:00,2016-09-21 20:51:00
WUT,QK038,CHS,AVL,2016-07-01 19:44:00,2016-07-01 19:44:00
WUT,VO533,JVL,CHS,2016-05-11 13:44:00,2016-05-11 15:14:00
VAV,PB010,CHS,AVL,2016-09-08 15:22:00,2016-09-08 15:22:00
WUT,FN486,JVL,CHS,2016-07-31 12:45:00,2016-07-31 13:43:00
WUT,NJ737,JVL,JVL,2016-05-02 15:27:00,2016-05-02 15:27:00
WUT,FZ011,JVL,CHS,2016-06-02 21:19:00,2016-06-02 21:19:00
POP,JE338,JVL,JVL,2016-07-02 02:03:00,2016-07-02 02:03:00
WUT,JI478,JVL,JVL,2016-05-27 01:36:00,2016-05-27 01:36:00
WUT,AO079,JVL,JVL,2016-06-07 03:37:00,2016-06-07 03:37:00
GHU,NM381,JVL,JVL,2016-05-22 05:46:00,2016-05-22 05:46:00
POP,OW379,CHS,CHS,2016-08-29 04:30:00,2016-08-29 04:30:00
WUT,WR353,AVL,JVL,2016-08-16 04:46:00,2016-08-16 04:46:00
POP,CH077,JVL,CHS,2016-06-29 22:03:00,2016-06-29 22:03:00
POP,HW073,CHS,AVL,2016-07-13 20:53:00,2016-07-13 20:53:00
POP,OD185,AVL,JVL,2016-05-09 05:01:00,2016-05-09 05:01:00
WUT,VO357,JVL,JVL,2016-07-22 02:22:00,2016-07-22 02:22:00
POP,QG536,JVL,WYS,2016-09-08 20:14:00,2016-09-08 20:14:00
WUT,JD759,JVL,CHS,2016-05-25 23:21:00,2016-05-25 23:21:00
DEF,AL973,FYV,JVL,2016-05-06 00:51:00,2016-05-06 00:51:00
WUT,ZJ632,CHS,WYS,2016-07-05 18:03:00,2016-07-05 18:03:00
VAV,KJ552,AVL,AVL,2016-06-14 20:06:00,2016-06-14 20:06:00
WUT,ZV132,AVL,JVL,2016-07-10 09:51:00,2016-07-10 09:51:00
WUT,JA589,JVL,CHS,2016-06-06 20:08:00,2016-06-06 21:01:00
VAV,NG708,CHS,AVL,2016-08-28 20:26:00,2016-08-28 20:26:00
POP,FS078,FSM,JVL,2016-08-18 14:01:00,2016-08-18 14:01:00
WUT,UJ743,JVL,JVL,2016-07-30 18:59:00,2016-07-30 18:59:00
WUT,GA896,CHS,CHS,2016-07-20 06:26:00,2016-07-20 06:26:00
POP,NK237,CHS,CHS,2016-05-25 04:44:00,2016-05-25 04:44:00
DEF,OG577,JVL,JVL,2016-06-25 21:02:00,2016-06-25 21:44:00
WUT,BL804,JVL,CHS,2016-07-20 09:35:00,2016-07-20 10:16:00
WUT,SZ840,CHS,JVL,2016-06-14 09:36:00,2016-06-14 09:36:00
GHU,DW147,JVL,JVL,2016-05-12 18:32:00,2016-05-12 18:32:00
POP,FE280,JVL,JVL,2016-09-12 10:52:00,2016-09-12 10:52:00
WUT,UL894,CHS,WRE,2016-08-29 09:17:00,2016-08-29 09:17:00
WUT,DB672,CHS,JVL,2016-06-22 21:30:00,2016-06-22 22:41:00
GHU,RV167,JVL,JVL,2016-07-27 07:29:00,2016-07-27 07:29:00
WUT,QA214,CHS,WRE,2016-09-15 10:18:00,2016-09-15 11:52:00
WUT,XI094,AVL,WYS,2016-06-30 01:48:00,2016-06-30 01:48:00
WUT,KO543,JVL,JVL,2016-06-12 03:23:00,2016-06-12 03:23:00
POP,MY869,JVL,JVL,2016-08-18 07:01:00,2016-08-18 07:02:00
VAV,PF437,AVL,JVL,2016-09-07 12:28:00,2016-09-07 12:28:00
WUT,DA966,CHS,JVL,2016-09-13 15:46:00,2016-09-13 16:07:00
WUT,KQ365,JVL,CHS,2016-05-14 03:07:00,2016-05-14 03:07:00
DEF,QU599,JVL,GNV,2016-05-09 12:21:00,2016-05-09 12:21:00
WUT,CF887,CHS,CHS,2016-05-15 04:46:00,2016-05-15 04:46:00
WUT,IN013,JVL,JVL,2016-07-24 12:38:00,2016-07-24 12:38:00
WUT,XN651,WYS,AVL,2016-08-08 23:17:00,2016-08-08 23:17:00
POP,CX939,CHS,CHS,2016-08-06 12:02:00,2016-08-06 12:02:00
WUT,OS843,JVL,JVL,2016-06-20 00:01:00,2016-06-20 01:30:00
ABC,ZW754,AVL,CHS,2016-05-21 04:05:00,2016-05-21 04:05:00
POP,JG012,CHS,JVL,2016-06-04 12:36:00,2016-06-04 13:30:00
VAV,UC227,JVL,AVL,2016-09-10 05:10:00,2016-09-10 05:10:00
POP,ZV197,AVL,JVL,2016-05-06 19:13:00,2016-05-06 19:13:00
WUT,UQ875,CHS,JVL,2016-08-06 11:35:00,2016-08-06 13:28:00
WUT,NI752,JVL,CHS,2016-07-24 12:09:00,2016-07-24 13:27:00
WUT,WD483,JVL,AVL,2016-06-20 04:27:00,2016-06-20 04:27:00
WUT,RS371,CHS,CHS,2016-06-06 12:11:00,2016-06-06 12:43:00
POP,RI346,CHS,AVL,2016-09-02 06:31:00,2016-09-02 06:31:00
POP,AD295,JVL,JVL,2016-06-30 01:36:00,2016-06-30 01:36:00
WUT,BS341,AVL,WRE,2016-09-19 14:31:00,2016-09-19 14:31:00
POP,GD626,CHS,JVL,2016-05-10 07:28:00,2016-05-10 07:28:00
WUT,NS884,JVL,JVL,2016-06-10 09:57:00,2016-06-10 09:57:00
WUT,WP858,JVL,JVL,2016-06-04 03:53:00,2016-06-04 03:53:00
POP,TE660,CHS,CHS,2016-06-04 19:29:00,2016-06-04 19:29:00
POP,HX082,JVL,JVL,2016-07-16 15:19:00,2016-07-16 15:23:00
POP,NI927,WRE,AVL,2016-06-06 07:30:00,2016-06-06 07:30:00
WUT,XU644,CHS,AVL,2016-07-31 20:34:00,2016-07-31 20:57:00
WUT,YT165,JVL,CHS,2016-05-25 01:07:00,2016-05-25 01:07:00
WUT,AJ029,GCC,AVL,2016-08-13 11:36:00,2016-08-13 12:55:00
WUT,RN377,JVL,JVL,2016-08-19 09:26:00,2016-08-19 09:26:00
VAV,GO684,JVL,JVL,2016-07-12 09:49:00,2016-07-12 09:49:00
WUT,YW060,CHS,CHS,2016-07-11 08:07:00,2016-07-11 08:07:00
WUT,WH287,CHS,JVL,2016-07-24 09:39:00,2016-07-24 10:18:00
WUT,RQ474,JVL,JVL,2016-05-27 12:33:00,2016-05-27 13:26:00
WUT,IS772,JVL,AHN,2016-05-11 03:42:00,2016-05-11 04:48:00
WUT,BU414,WYS,CHS,2016-09-10 20:02:00,2016-09-10 20:02:00
VAV,IW193,JVL,JVL,2016-09-28 16:13:00,2016-09-28 16:13:00
WUT,IE458,AVL,WRE,2016-05-03 04:02:00,2016-05-03 04:02:00
WUT,BC460,JVL,AVL,2016-07-12 19:35:00,2016-07-12 19:35:00
GHU,KE612,CHS,JVL,2016-07-26 05:33:00,2016-07-26 05:33:00
POP,WU313,JVL,CHS,2016-06-20 00:32:00,2016-06-20 00:32:00
WUT,EX210,JVL,GCC,2016-08-25 05:59:00,2016-08-25 06:48:00
WUT,AS244,CHS,JVL,2016-08-29 16:24:00,2016-08-29 16:24:00
DEF,DT749,CHS,CHS,2016-06-19 14:12:00,2016-06-19 14:12:00
WUT,PH248,AVL,JVL,2016-07-23 07:58:00,2016-07-23 07:58:00
ABC,NY731,JVL,JVL,2016-06-08 07:08:00,2016-06-08 07:08:00
VAV,GE048,GCC,JVL,2016-06-14 12:12:00,2016-06-14 13:29:00
POP,DF466,JVL,AVL,2016-09-07 11:37:00,2016-09-07 11:37:00
VAV,RW290,JVL,CHS,2016-06-07 00:46:00,2016-06-07 00:58:00
POP,ZQ926,WRE,JVL,2016-05-21 12:09:00,2016-05-21 12:09:00
POP,KB490,JVL,JVL,2016-05-09 00:53:00,2016-05-09 00:53:00
WUT,SO907,CHS,WYS,2016-09-24 02:59:00,2016-09-24 02:59:00
WUT,ME336,AHN,CHS,2016-06-28 07:47:00,2016-06-28 07:47:00
VAV,KW290,CHS,JVL,2016-07-14 20:09:00,2016-07-14 20:09:00
VAV,HW231,WYS,CHS,2016-05-22 20:40:00,2016-05-22 20:40:00
WUT,WK793,CHS,JVL,2016-07-07 13:30:00,2016-07-07 13:30:00
WUT,AS318,JVL,AVL,2016-07-29 07:10:00,2016-07-29 07:10:00
POP,ER766,JVL,JVL,2016-06-22 11:29:00,2016-06-22 11:29:00
WUT,WU070,WRE,JVL,2016-05-26 01:40:00,2016-05-26 01:40:00
POP,VI973,AVL,AVL,2016-08-15 14:15:00,2016-08-15 14:15:00
WUT,LC789,JVL,CHS,2016-05-07 12:11:00,2016-05-07 13:43:00
POP,FL433,JVL,CHS,2016-06-08 02:37:00,2016-06-08 02:37:00
ABC,IZ900,WRE,JVL,2016-08-13 18:24:00,2016-08-13 19:56:00
GHU,JU433,JVL,JVL,2016-05-14 17:39:00,2016-05-14 17:39:00
GHU,DZ619,CHS,JVL,2016-05-02 14:12:00,2016-05-02 14:12:00
VAV,WF316,AVL,JVL,2016-09-01 01:57:00,2016-09-01 02:20:00
ABC,RO380,JVL,WRE,2016-05-10 14:44:00,2016-05-10 16:04:00
WUT,KQ152,CHS,AVL,2016-08-05 05:05:00,2016-08-05 05:05:00
POP,QW633,JVL,JVL,2016-06-05 06:46:00,2016-06-05 07:10:00
VAV,ET232,WRE,JVL,2016-07-05 03:07:00,2016-07-05 03:07:00
VAV,TN083,CHS,CHS,2016-09-20 17:46:00,2016-09-20 17:46:00
POP,CY362,JVL,CHS,2016-05-28 23:05:00,2016-05-28 23:05:00
WUT,DO275,JVL,JVL,2016-06-09 11:52:00,2016-06-09 11:52:00
WUT,IW909,JVL,JVL,2016-08-25 03:27:00,2016-08-25 03:27:00
VAV,BJ746,CHS,JVL,2016-05-13 23:11:00,2016-05-13 23:11:00
WUT,SU694,JVL,CHS,2016-06-14 13:13:00,2016-06-14 13:13:00
WUT,DI087,GCC,WRE,2016-06-18 00:56:00,2016-06-18 00:56:00
POP,US804,WRE,JVL,2016-06-14 14:53:00,2016-06-14 14:53:00
WUT,ZR491,JVL,WRE,2016-09-20 05:48:00,2016-09-20 05:48:00
WUT,CM717,GCC,AVL,2016-08-07 06:19:00,2016-08-07 06:19:00
WUT,CJ353,WYS,JVL,2016-05-02 18:14:00,2016-05-02 18:14:00
POP,LO185,GCC,CHS,2016-09-11 04:11:00,2016-09-11 05:12:00
WUT,YG854,JVL,CHS,2016-08-31 02:14:00,2016-08-31 02:14:00
VAV,VM954,AVL,GCC,2016-07-27 17:02:00,2016-07-27 19:00:00
WUT,LT468,AVL,JVL,2016-06-30 18:48:00,2016-06-30 18:48:00
ABC,HF184,GCC,AVL,2016-09-02 02:28:00,2016-09-02 02:28:00
WUT,AB441,JVL,JVL,2016-08-31 23:22:00,2016-08-31 23:50:00
WUT,UD206,JVL,JVL,2016-09-21 09:21:00,2016-09-21 09:21:00
WUT,IJ944,JVL,JVL,2016-06-08 09:41:00,2016-06-08 09:41:00
WUT,RG942,AVL,CHS,2016-08-21 20:46:00,2016-08-21 21:18:00
VAV,JN340,JVL,AVL,2016-06-27 21:22:00,2016-06-27 23:00:00
VAV,RZ141,WYS,AVL,2016-08-11 15:22:00,2016-08-11 15:22:00
GHU,MF037,JVL,CHS,2016-07-27 04:57:00,2016-07-27 04:57:00
POP,VD480,AVL,JVL,2016-07-12 05:45:00,2016-07-12 05:56:00
WUT,KG902,JVL,JVL,2016-05-27 01:43:00,2016-05-27 01:43:00
POP,SG051,JVL,AVL,2016-08-30 00:06:00,2016-08-30 00:13:00
POP,WS019,AVL,AVL,2016-07-11 05:11:00,2016-07-11 05:11:00
POP,MG778,JVL,CHS,2016-05-11 21:54:00,2016-05-11 21:54:00
POP,HS552,JVL,JVL,2016-07-14 07:17:00,2016-07-14 07:17:00
WUT,KX720,CHS,AVL,2016-07-04 01:32:00,2016-07-04 01:32:00
POP,QF610,JVL,JVL,2016-08-14 12:15:00,2016-08-14 12:15:00
WUT,DC701,AVL,CHS,2016-09-27 18:40:00,2016-09-27 18:40:00
WUT,PZ884,JVL,JVL,2016-07-19 01:10:00,2016-07-19 01:10:00
VAV,EX392,WRE,JVL,2016-05-31 05:28:00,2016-05-31 05:28:00
GHU,XP402,JVL,AVL,2016-08-23 22:46:00,2016-08-23 22:46:00
WUT,NL824,CHS,CHS,2016-09-01 05:23:00,2016-09-01 05:38:00
WUT,SB965,CHS,JVL,2016-08-19 16:02:00,2016-08-19 16:02:00
GHU,QR346,JVL,JVL,2016-07-30 04:10:00,2016-07-30 04:10:00
WUT,CQ228,CHS,JVL,2016-06-20 11:20:00,2016-06-20 11:20:00
POP,YE541,JVL,JVL,2016-08-25 06:57:00,2016-08-25 06:57:00
WUT,UK571,JVL,JVL,2016-07-20 10:46:00,2016-07-20 10:46:00
WUT,YL520,JVL,AVL,2016-06-24 07:51:00,2016-06-24 07:51:00
WUT,ZX578,AVL,JVL,2016-05-15 07:28:00,2016-05-15 07:52:00
POP,UX644,CHS,JVL,2016-08-26 05:49:00,2016-08-26 05:49:00
WUT,US057,JVL,CHS,2016-06-27 11:35:00,2016-06-27 11:35:00
WUT,MS064,JVL,JVL,2016-06-14 21:37:00,2016-06-14 21:37:00
WUT,KG134,JVL,JVL,2016-05-19 14:54:00,2016-05-19 15:36:00
POP,ZW431,JVL,JVL,2016-09-10 19:18:00,2016-09-10 20:47:00
POP,PE844,JVL,CHS,2016-09-04 03:04:00,2016-09-04 03:04:00
GHU,LH619,JVL,JVL,2016-06-10 15:45:00,2016-06-10 15:45:00
WUT,MW567,CHS,JVL,2016-05-05 08:56:00,2016-05-05 08:56:00
GHU,GV134,JVL,AVL,2016-06-01 19:52:00,2016-06-01 19:52:00
POP,ZA827,WRE,WRE,2016-06-16 11:19:00,2016-06-16 11:19:00
VAV,XS300,JVL,JVL,2016-08-12 04:28:00,2016-08-12 04:28:00
WUT,QG566,JVL,AVL,2016-07-21 03:39:00,2016-07-21 03:39:00
WUT,NT999,CHS,JVL,2016-05-19 03:58:00,2016-05-19 03:58:00
POP,KS241,AVL,JVL,2016-08-15 08:07:00,2016-08-15 09:50:00
WUT,RT051,CHS,GCC,2016-08-23 19:53:00,2016-08-23 19:53:00
POP,ZT104,JVL,JVL,2016-07-02 05:03:00,2016-07-02 05:03:00
WUT,AY974,CHS,CHS,2016-06-13 09:37:00,2016-06-13 09:37:00
WUT,AD273,JVL,JVL,2016-06-04 07:30:00,2016-06-04 07:30:00
WUT,VL721,JVL,JVL,2016-09-16 19:44:00,2016-09-16 19:44:00
POP,YA239,JVL,JVL,2016-07-14 16:21:00,2016-07-14 16:21:00
VAV,BY111,JVL,JVL,2016-09-07 04:00:00,2016-09-07 04:00:00
WUT,BN607,JVL,JVL,2016-06-22 17:19:00,2016-06-22 17:26:00
VAV,ZK735,JVL,CHS,2016-06-15 07:09:00,2016-06-15 07:09:00
POP,OT241,JVL,JVL,2016-05-10 11:12:00,2016-05-10 11:12:00
WUT,ZF727,JVL,AVL,2016-09-26 16:43:00,2016-09-26 16:55:00
POP,PU081,JVL,CHS,2016-05-11 15:44:00,2016-05-11 15:44:00
GHU,QX453,AVL,JVL,2016-08-18 14:07:00,2016-08-18 14:07:00
WUT,GF974,CHS,AVL,2016-07-12 04:49:00,2016-07-12 05:43:00
WUT,DG532,JVL,JVL,2016-06-21 06:10:00,2016-06-21 06:10:00
ABC,NF101,CHS,CHS,2016-07-05 18:18:00,2016-07-05 20:15:00
WUT,WS369,CHS,AVL,2016-05-06 18:59:00,2016-05-06 18:59:00
WUT,HE836,JVL,FYV,2016-07-22 12:34:00,2016-07-22 12:34:00
WUT,ZS554,CHS,JVL,2016-08-08 21:03:00,2016-08-08 21:03:00
POP,SV215,JVL,JVL,2016-07-29 22:24:00,2016-07-29 22:24:00
POP,YU674,JVL,JVL,2016-05-01 00:42:00,2016-05-01 00:42:00
POP,TQ089,CHS,JVL,2016-08-05 00:30:00,2016-08-05 02:19:00
GHU,MA284,JVL,WYS,2016-09-06 16:41:00,2016-09-06 16:41:00
WUT,OA344,JVL,CHS,2016-08-21 01:05:00,2016-08-21 01:05:00
WUT,EK688,CHS,CHS,2016-05-30 03:30:00,2016-05-30 03:30:00
WUT,YA641,JVL,JVL,2016-05-03 11:09:00,2016-05-03 11:09:00
WUT,LP692,JVL,WRE,2016-05-30 14:55:00,2016-05-30 14:55:00
WUT,AP579,CHS,CHS,2016-07-09 11:02:00,2016-07-09 11:02:00
GHU,DT972,CHS,CHS,2016-08-07 08:03:00,2016-08-07 08:17:00
WUT,RQ536,CHS,JVL,2016-06-20 09:20:00,2016-06-20 09:20:00
WUT,OH623,WYS,JVL,2016-08-30 13:37:00,2016-08-30 13:37:00
POP,FQ644,CHS,AVL,2016-06-01 04:20:00,2016-06-01 04:20:00
POP,VJ179,JVL,CHS,2016-06-04 01:21:00,2016-06-04 01:43:00
DEF,DQ652,CHS,CHS,2016-08-16 17:33:00,2016-08-16 18:28:00
POP,WL512,JVL,AVL,2016-06-12 02:05:00,2016-06-12 02:05:00
DEF,DY152,JVL,CHS,2016-06-21 14:06:00,2016-06-21 14:06:00
WUT,CG529,JVL,JVL,2016-06-28 11:18:00,2016-06-28 11:18:00
POP,DG373,JVL,JVL,2016-07-08 07:12:00,2016-07-08 07:12:00
WUT,UC824,JVL,CHS,2016-07-18 00:02:00,2016-07-18 00:02:00
GHU,VA784,JVL,JVL,2016-06-07 01:00:00,2016-06-07 01:20:00
POP,ZO754,JVL,CHS,2016-07-16 12:48:00,2016-07-16 13:46:00
WUT,IB092,CHS,CHS,2016-05-31 06:09:00,2016-05-31 06:09:00
WUT,JF404,CHS,CHS,2016-08-05 12:02:00,2016-08-05 12:02:00
WUT,FZ583,CHS,WYS,2016-07-07 06:10:00,2016-07-07 06:10:00
VAV,SI670,JVL,JVL,2016-09-05 04:49:00,2016-09-05 05:50:00
GHU,TN666,JVL,JVL,2016-06-13 07:46:00,2016-06-13 08:43:00
VAV,GE521,AVL,JVL,2016-05-23 22:49:00,2016-05-23 23:24:00
WUT,QL462,JVL,JVL,2016-09-17 04:41:00,2016-09-17 04:41:00
ABC,XE124,JVL,AVL,2016-07-15 20:06:00,2016-07-15 20:06:00
WUT,LJ944,GCC,JVL,2016-09-28 09:37:00,2016-09-28 09:37:00
POP,SE796,JVL,WRE,2016-08-04 02:04:00,2016-08-04 02:04:00
WUT,DL912,WYS,JVL,2016-09-18 08:33:00,2016-09-18 09:17:00
VAV,ML870,CHS,JVL,2016-07-18 08:08:00,2016-07-18 08:08:00
VAV,JR286,JVL,WYS,2016-06-22 23:34:00,2016-06-22 23:34:00
WUT,MN594,JVL,AVL,2016-06-29 07:04:00,2016-06-29 07:04:00
GHU,XE466,CHS,JVL,2016-05-10 09:37:00,2016-05-10 11:17:00
WUT,VR989,JVL,AVL,2016-05-08 23:13:00,2016-05-09 00:43:00
WUT,OD047,JVL,CHS,2016-08-11 05:02:00,2016-08-11 05:02:00
